id,product_id,name,value,price_modifier,stock,sku
2e7482e5-da18-4995-bb42-de7cf096afc8,e6419be1-8d75-45a5-aeeb-ab54a043f1b1,weight,5/5mg,0.00,0,
2edd4a2e-8be5-4ced-bde3-684c920e4f78,139801f1-4514-43ca-a942-b5ef4fe55d27,Weight,600mg,0.00,0,
2ee46d36-ad15-4055-b437-6b8c59c76605,040362af-6a5a-4f8a-9206-dd1b8bc18ce7,Dosage,1000mg × 10 vials,40.00,100,
2f58be2b-e365-4f76-91d8-2b5602fe0624,42179512-e7d3-42ca-8221-6c4669674844,weight,"500mcg/cap, 1000mcg/cap",0.00,0,
307fd446-b0c4-42e7-bc57-b16fda15c25c,46272bb6-3da3-4e7e-a61d-8c7b0fe5bd4f,Dosage,20mg × 10 vials,40.00,100,
309cd207-9e72-4681-b726-19c541d90c66,36f13832-d98a-413e-9f2e-1e627d7a86c4,weight,40mg,0.00,0,
30abf775-2a4d-451a-9f5b-04870a63fbc1,24e430bb-8e82-46c3-b302-5198a2137e73,Weight,10mg,0.00,0,
31278de6-33f5-4fca-93f0-ebb0c6b6cadb,b504b64f-415b-47fa-930c-c7ec2eb89c1d,Weight,5/5mg,0.00,0,
32939da8-4073-4b9d-b70d-f1bbc55e46d3,997286a1-2212-4de6-ba18-6c53c38c9d9b,Weight,5mg,0.00,0,
33b7a9dc-67a5-4eaa-bc41-2c1fa28bc42e,a4a40123-48fb-49fc-b6de-8a58eea0f688,Strength,5mg × 10 vials,0.00,100,RET-5MG-10V
33f5b647-70d2-4f98-a418-121e8831d984,46272bb6-3da3-4e7e-a61d-8c7b0fe5bd4f,Dosage,120mg × 10 vials,235.00,100,
3422c963-1b58-4f68-bf4e-603a2cd018a2,dbb0eaa3-9064-401a-8dbb-02054e7bec4a,Weight,5mg,0.00,0,
34d5d8af-6cb5-47f1-a65c-dbd713743952,16a586f8-9761-4d6f-8b17-4ffb58d19e05,volume,10mL,0.00,0,
3643b4cb-96e0-45bd-8e5a-0a965a21cc21,092419d6-c889-491d-a090-2d286e9520f7,weight,1500mg,0.00,0,
38c6aab0-1ee6-4a94-b3b4-5e8072070151,13429885-ba1b-45b9-9cc3-0f97d39b3c64,Strength,100mg × 10 vials,0.00,100,AHKCU-100MG10VIALS
39600ce7-5b1e-4712-9ac4-1e682821f661,a8c4f9d7-4ee5-437a-9d43-07781025f9d5,weight,10mg,0.00,0,
3b27d2ce-cd16-4676-bb79-c5a1e2abcd83,921b7494-197f-4c06-a86c-bc5c33039016,Weight,10mg,0.00,0,
3b2d48f0-fff5-4b3c-8184-b8a6c6f0886e,7afcbfea-5fe0-42df-b004-93a6cbf236a4,Weight,10mg,0.00,0,
